Tarih,Faiz_Orani_Yillik_Pct
20.05.2010,7.0
17.12.2010,6.5
21.01.2011,6.25
05.08.2011,5.75
19.12.2012,5.5
17.04.2013,5.0
17.05.2013,4.5
29.01.2014,10.0
23.05.2014,9.5
25.06.2014,8.75
18.07.2014,8.25
21.01.2015,7.75
25.02.2015,7.5
25.11.2016,8.0
01.06.2018,16.5
08.06.2018,17.75
14.09.2018,24.0
26.07.2019,19.75
13.09.2019,16.5
25.10.2019,14.0
13.12.2019,12.0
17.01.2020,11.25
20.02.2020,10.75
18.03.2020,9.75
23.04.2020,8.75
22.05.2020,8.25
25.09.2020,10.25
20.11.2020,15.0
25.12.2020,17.0
19.03.2021,19.0
24.09.2021,18.0
22.10.2021,16.0
19.11.2021,15.0
17.12.2021,14.0
19.08.2022,13.0
23.09.2022,12.0
21.10.2022,10.5
25.11.2022,9.0
01.01.2023,9.0
24.02.2023,8.5
01.03.2023,8.5
01.06.2023,15.0
23.06.2023,15.0
01.07.2023,17.5
21.07.2023,17.5
01.08.2023,25.0
25.08.2023,25.0
01.09.2023,30.0
22.09.2023,30.0
01.10.2023,35.0
27.10.2023,35.0
01.11.2023,40.0
24.11.2023,40.0
01.12.2023,42.5
22.12.2023,42.5
26.01.2024,45.0
01.02.2024,45.0
01.03.2024,50.0
22.03.2024,50.0
01.06.2024,50.0
01.09.2024,47.5
01.12.2024,45.0
27.12.2024,47.5
24.01.2025,45.0
01.03.2025,42.5
07.03.2025,42.5
18.04.2025,46.0
25.07.2025,43.0
12.09.2025,40.5
24.10.2025,39.5
12.12.2025,38.0
23.01.2026,37.0
